id,handle,title,productType,current_price,suggested_price,category_p99,category_median,overshoot_pct,tags,rule
9269977153786,jaxx-alon-daybed-fold-out-sleeper-queen-size-mattress,Jaxx Alon Daybed | Fold-Out Sleeper | Queen-Size Mattress,Sports & Outdoors,1579.31,850.35,850.3506999999962,56.34,85.7,entertainment;furniture;home;sale_collection:Entertainment;sale_collection:Home,cap@p99
9269997764858,philips-3200-series-fully-automatic-espresso-machine,Philips 3200 Series Fully Automatic Espresso Machine,Sports & Outdoors,1269.19,850.35,850.3506999999962,56.34,49.3,Convictional;gift_collection:Gifts for Him;gifts for him;Home & Electronics;smarttag:low inventory,cap@p99
9269967782138,cycle-boxer,Cycle Boxer,Apparel & Accessories,3524.15,247.55,247.55,69.74,1323.6,all;Cycling;Exercise_bike;fathers_day_23;fitness,cap@p99
9269994782970,osaki-lk-219-spa-capsule,Osaki LK-219 Spa Capsule,Apparel & Accessories,5639.49,247.55,247.55,69.74,2178.1,all;audience_men;best_sellers;fitness;fitness_sports_recovery,cap@p99
9269995274490,osaki-lk-219b-spa-capsule,Osaki LK-219B Spa Capsule,Apparel & Accessories,5075.4,247.55,247.55,69.74,1950.3,all;audience_men;fitness;fitness_sports_recovery;luxury,cap@p99
9270000550138,pursteel-electric-ride-on-luggage,Pursteel Electric Ride-On Luggage,Apparel & Accessories,1410.21,247.55,247.55,69.74,469.7,entertainment;gifts;home_office;luggage;sale_collection:Entertainment,cap@p99
9257779626234,dog-stroller-transport-box,Dog Stroller & Transport Box,Pet Supplies,425.39,289.32,289.3156000000003,34.83,47.0,pet;pet supplies;roller;stroller;transport,cap@p99
9270010511610,shark-rotator-pet-lift-away-adv-upright-vacuumduoclean-powerfins-hairproodor-neutralizer-la702-wine-purp-ws1,Shark Rotator Pet Lift-Away Adv Upright Vacuum/Duoclean Powerfins,Pet Supplies,493.51,289.32,289.3156000000003,34.83,70.6,collections_home;colllection_home;Convictional;home;Home & Electronics,cap@p99
9269970993402,durapatio-heavyduty-patio-furniture-4-set,Durapatio Heavyduty patio furniture 4 set,Garden & Outdoor,3524.15,3108.14,3108.1350999999977,51.43,13.4,_outdoor;audience_men;BF24;bistro sets;category_new,cap@p99
9269950677242,airo-fridgador-cabinet-88l-by-case-elegance,Airo Fridgador Cabinet - 88L by Case Elegance,Home & Kitchen,2820.43,985.06,985.0583000000006,74.95,186.3,Ashtray;Carro Brands Product;Ceramic Ashtray;Christmas_Gifts;Chrome Cigar Cutter,cap@p99
9269952807162,astoria,Astoria,Home & Kitchen,3524.15,985.06,985.0583000000006,74.95,257.8,4D massage chair;audience_men;colleciton_gifts_for_him;gifts;gifts for him,cap@p99
9269958181114,bio-bidet-discovery-dls-bidet-seat,Bio Bidet Discovery DLS Bidet Seat,Home & Kitchen,1267.79,985.06,985.0583000000006,74.95,28.7,all;bath;bathroom;bathroom_gift_guide;Bidet,cap@p99
9269964243194,calm-plus-flex-frame-sl-track-massage-chair-w-touchscreen-remote-by-synca-massage-chair,Calm Plus Flex Frame SL Track Massage Chair w/ Touchscreen Remote,Home & Kitchen,5640.9,985.06,985.0583000000006,74.95,472.6,all;best_sellers;black_friday;collection:Full_Body_Massage_Chairs;collection:Zero_Gravity_Massage_Chairs,cap@p99
9269967880442,cyber-relax-pro-4d-dual-massage-robot-flex-frame-sl-track-massage-chair-by-synca-massage-chair,Cyber Relax Pro - 4D Dual Massage Robot Flex Frame SL Track Massage,Home & Kitchen,21153.37,985.06,985.0583000000006,74.95,2047.4,all;best_sellers;black_friday;collection:Full_Body_Massage_Chairs;collection:Zero_Gravity_Massage_Chairs,cap@p99
9269967913210,cyber-relax-ai-made-in-japan-5d-ai-ultra-premium-massage-chair-by-synca-massage-chair,Cyber Relax Ai Made in Japan 5D Ai Ultra Premium Massage Chair by,Home & Kitchen,15512.47,985.06,985.0583000000006,74.95,1474.8,all;best_sellers;black_friday;collection:Full_Body_Massage_Chairs;collection:Zero_Gravity_Massage_Chairs,cap@p99
9269968306426,d-core-2-made-in-japan-ultra-premium-massage-chair-w-oak-side-panels-by-synca-massage-chair,D.Core 2 - Made in Japan Ultra Premium Massage Chair w/ Oak Side,Home & Kitchen,23973.81,985.06,985.0583000000006,74.95,2333.7,all;best_sellers;black_friday;collection:Full_Body_Massage_Chairs;collection:Zero_Gravity_Massage_Chairs,cap@p99
9269975777530,hisho-sl-track-heated-deluxe-zero-gravity-massage-chair-by-synca-massage-chair,Hisho - SL Track Heated Deluxe Zero Gravity Massage Chair,Home & Kitchen,2820.45,985.06,985.0583000000006,74.95,186.3,all;best_sellers;black_friday;collection:Full_Body_Massage_Chairs;collection:Zero_Gravity_Massage_Chairs,cap@p99
9269978104058,jaxx-zipline-convertible-sleeper-loveseat-ottomans-by-luvu-brands,Jaxx Zipline Convertible Sleeper Loveseat & Ottomans,Home & Kitchen,1438.43,985.06,985.0583000000006,74.95,46.0,entertainment;furniture;home;sale_collection:Entertainment;sale_collection:Home,cap@p99
9269978628346,jin-2-0-deluxe-heated-sl-track-zero-gravity-massage-chair-by-synca-massage-chair,Jin 2.0 - Deluxe Heated SL Track Zero Gravity Massage Chair by Synca,Home & Kitchen,5640.9,985.06,985.0583000000006,74.95,472.6,all;best_sellers;black_friday;collection:Full_Body_Massage_Chairs;collection:Zero_Gravity_Massage_Chairs,cap@p99
9269978661114,jin-sl-track-heated-deluxe-zero-gravity-massage-chair-by-synca-massage-chair,Jin - SL Track Heated Deluxe Zero Gravity Massage Chair by Synca Massage Chair,Home & Kitchen,2820.45,985.06,985.0583000000006,74.95,186.3,all;best_sellers;black_friday;collection:Full_Body_Massage_Chairs;collection:Zero_Gravity_Massage_Chairs,cap@p99
9270001205498,r2-coffee-roaster-package,R2 Coffee Roaster Package,Home & Kitchen,4229.26,985.06,985.0583000000006,74.95,329.3,audience_men;best at home coffee;BF24;category_new;Coffee,cap@p99
9270001271034,r1-coffee-roaster-package,R1 Coffee Roaster Package,Home & Kitchen,2113.93,985.06,985.0583000000006,74.95,114.6,audience_men;best at home coffee;BF24;category_new;Coffee,cap@p99
9270035054842,veho-muvi-kz-2-pro-drivecam-4k-dashcam,Veho Muvi KZ-2 Pro Drivecam 4K Dashcam,Automotive,493.51,240.05,240.04659999999978,41.8,105.6,all;Back to School;dadsandgrads_2021;free_ground_promo;grads_2021,cap@p99
9269970895098,dyson-air-purifier-cool-bigquiet-formaldehyde-bp03-tower-in-bright-nickelprussian-blue,Dyson Air Purifier Cool Big+Quiet Formaldehyde BP03 Tower in Bright,Electronics & Accessories,1692.26,987.53,987.5328000000113,74.95,71.4,Convictional;Dyson;health_and_wellness;Home & Electronics;Home_bathroom,cap@p99
9269971517690,dyson-air-purifier-hotcool-fan-formaldehyde-hp09-smart-tower-in-whitegold,Dyson Air Purifier Hot+Cool Fan Formaldehyde HP09 Smart Tower in White/Gold,Electronics & Accessories,1198.68,987.53,987.5328000000113,74.95,21.4,Convictional;Dyson;Home & Electronics;New;promo_excludes,cap@p99
